totrev,high,shifts,block2,block3
3090.8999,0,13,0,0
1210,1,5,1,0
782,0,3,0,1
2308.5,0,8,0,0
2148,1,6,1,0
1936.5,0,6,0,1
3552.5,0,9,0,0
1889,0,4,1,0
1883,1,5,0,1
930.40002,1,4,1,0
0,0,0,0,1
1519.5,0,5,0,0
3874.5,1,11,1,0
4301.3999,0,12,0,1
5717.3999,0,18,0,0
0,0,0,1,0
1616,1,5,0,1
2440,0,7,0,0
0,0,0,1,0
2322,1,6,0,1
5175.5,0,15,0,0
4793.2002,0,15,1,0
6850.7998,1,22,0,1
2600.5,0,8,0,0
2666.8999,0,8,1,0
2467.5,1,8,0,1
1778.5,0,6,0,0
2641.5,1,9,1,0
543,0,2,0,1
2404,0,9,0,0
2782,0,8,1,0
3879,1,11,0,1
5352.5,0,16,0,0
6080.2998,0,18,1,0
1627,1,5,0,1
1127.5,0,3,0,0
1735,0,5,1,0
678,1,3,0,1
191,0,1,0,0
7097.7998,1,25,1,0
6660.8999,0,19,0,1
4967.5,0,16,0,0
4894.1001,0,17,1,0
5212,1,18,0,1
939.5,0,4,0,0
4412.8999,0,15,1,0
5008,1,15,0,1
2022.9,0,8,0,0
1639.5,1,7,1,0
1604,0,6,0,1
279.5,0,1,0,0
3696.3999,1,12,1,0
656.5,0,2,0,1
1295.6,0,5,0,0
4302.8999,0,15,1,0
4157,1,17,0,1
314,0,1,0,0
1409,0,5,1,0
1146,1,4,0,1
1160.5,0,3,0,0
2344.1001,1,9,1,0
0,0,0,0,1
3255.5,0,11,0,0
4504.5,1,15,1,0
3842.5,0,12,0,1
11516.2,0,29,0,0
12487.8,1,30,1,0
8400,0,22,0,1
2709.5,0,11,0,0
1168.5,1,6,1,0
1012.9,0,4,0,1
4097,0,12,0,0
3835.1001,0,11,1,0
3315.5,1,10,0,1
3733.5,0,12,0,0
4439.2998,1,14,1,0
3492,0,11,0,1
4080.3999,0,16,0,0
4105.7998,1,17,1,0
2407.5,0,9,0,1
6905.5,0,20,0,0
4510.5,1,14,1,0
5481,0,15,0,1
2088,0,7,0,0
2610,0,8,1,0
1950.5,1,8,0,1
4219.2002,0,16,0,0
2573,1,8,1,0
0,0,0,0,1
3387.5,0,16,0,0
4304,1,17,1,0
524,0,3,0,1
8668.4004,0,29,0,0
7965.5,0,26,1,0
8221,1,28,0,1
4902,0,16,0,0
8811.7998,1,27,1,0
7236,0,25,0,1
6965.5,0,27,0,0
3598.5,0,13,1,0
7353.7998,1,26,0,1
7209.5,0,23,0,0
5717.5,1,21,1,0
2455,0,9,0,1
1418.5,0,7,0,0
2195,0,8,1,0
4398.2002,1,18,0,1
5679.3999,0,26,0,0
4688.8999,1,18,1,0
0,0,0,0,1
3341.5,0,13,0,0
4075,1,15,1,0
5081,0,16,0,1
1221,0,8,0,0
3171.5,0,14,1,0
4750,1,19,0,1
223,0,1,0,0
3920.5,1,18,1,0
3732.5,0,16,0,1
1576,0,7,0,0
1660,0,6,1,0
3841,1,12,0,1
114,0,1,1,0
2835,1,11,0,1
